token,key,train_document_frequency,test_document_frequency
gene=CDKN2A|subfamily=nonsense,subfamily,73,17
gene=DIAPH3|family=substitution:missense,family,73,67
gene=DIAPH3|subfamily=missense,subfamily,73,67
gene=F13A1|family=substitution:missense,family,73,64
gene=F13A1|subfamily=missense,subfamily,73,64
gene=FLNA|family=substitution:no_change,family,73,46
gene=FLNA|subfamily=no_change,subfamily,73,46
gene=NCOR2|family=substitution:no_change,family,73,70
gene=NCOR2|subfamily=no_change,subfamily,73,70
gene=PDHA2|family=substitution:missense,family,73,51
gene=PDHA2|subfamily=missense,subfamily,73,51
gene=RPTOR|family=substitution:missense,family,73,43
gene=RPTOR|subfamily=missense,subfamily,73,43
gene=SLIT2|family=substitution:no_change,family,73,50
gene=SLIT2|subfamily=no_change,subfamily,73,50
gene=TACR3|family=substitution:missense,family,73,36
gene=TACR3|subfamily=missense,subfamily,73,36
gene=TYR|family=substitution:missense,family,73,49
gene=TYR|subfamily=missense,subfamily,73,49
gene=AR|family=substitution:missense,family,70,73
gene=AR|subfamily=missense,subfamily,70,73
gene=ADAMTS1|family=substitution:missense,family,54,73
gene=ADAMTS1|subfamily=missense,subfamily,54,73
gene=FBXW7|position_bin=501-600,position_bin,51,73
gene=SBNO2|family=substitution:missense,family,36,73
gene=SBNO2|subfamily=missense,subfamily,36,73
gene=EGFR|position_bin=701-800,position_bin,24,73
gene=PABPC1|aa_transition=R>C,aa_transition,10,73
gene=WAS|position_bin=301-400,position_bin,6,73
gene=TARP|position_bin=1-100,position_bin,0,73
gene=TCF7L2|frameshift_grammar=ref_position_alt,frameshift_grammar,0,73
gene=TCF7L2|subfamily=ref_position_alt,subfamily,0,73
gene=AKAP12|family=substitution:missense,family,72,66
gene=AKAP12|subfamily=missense,subfamily,72,66
gene=ARID5B|family=substitution:missense,family,72,52
gene=ARID5B|subfamily=missense,subfamily,72,52
gene=AXL|family=substitution:missense,family,72,55
gene=AXL|subfamily=missense,subfamily,72,55
gene=CDH16|family=substitution:missense,family,72,33
gene=CDH16|subfamily=missense,subfamily,72,33
gene=CDKN2A|family=substitution:missense,family,72,26
gene=CDKN2A|subfamily=missense,subfamily,72,26
gene=DCTN1|family=substitution:missense,family,72,45
gene=DCTN1|subfamily=missense,subfamily,72,45
gene=HUWE1|family=substitution:no_change,family,72,44
gene=HUWE1|subfamily=no_change,subfamily,72,44
gene=KIF4A|family=substitution:missense,family,72,51
gene=KIF4A|subfamily=missense,subfamily,72,51
gene=MEFV|family=substitution:missense,family,72,72
gene=MEFV|subfamily=missense,subfamily,72,72
gene=NUP153|family=substitution:missense,family,72,52
gene=NUP153|subfamily=missense,subfamily,72,52
gene=PRKCG|family=substitution:missense,family,72,50
gene=PRKCG|subfamily=missense,subfamily,72,50
gene=SNAP91|family=substitution:missense,family,72,47
gene=SNAP91|subfamily=missense,subfamily,72,47
gene=TAOK2|family=substitution:missense,family,72,53
gene=TAOK2|subfamily=missense,subfamily,72,53
gene=CSF2RA|family=substitution:missense,family,59,72
gene=CSF2RA|subfamily=missense,subfamily,59,72
gene=MAML2|family=substitution:no_change,family,51,72
gene=MAML2|subfamily=no_change,subfamily,51,72
gene=MYL1|position_bin=1-100,position_bin,26,72
gene=SVIL|position_bin=801-900,position_bin,18,72
gene=HLA-C|family=substitution:no_change,family,14,72
gene=HLA-C|subfamily=no_change,subfamily,14,72
gene=WAS|family=substitution:no_change,family,12,72
gene=WAS|subfamily=no_change,subfamily,12,72
gene=AHNAK|position_bin=1301-1400,position_bin,8,72
gene=NOP2|position_bin=101-200,position_bin,8,72
gene=ATP2A1|family=substitution:missense,family,71,47
gene=ATP2A1|subfamily=missense,subfamily,71,47
gene=DSC3|family=substitution:missense,family,71,49
gene=DSC3|subfamily=missense,subfamily,71,49
gene=INHBA|family=substitution:missense,family,71,33
gene=INHBA|subfamily=missense,subfamily,71,33
gene=LPIN1|family=substitution:missense,family,71,45
gene=LPIN1|subfamily=missense,subfamily,71,45
gene=LY75|family=substitution:missense,family,71,21
gene=LY75|subfamily=missense,subfamily,71,21
gene=NF1|family=frameshift,family,71,30
gene=NF1|parse_status=partial,parse_status,71,30
gene=NRCAM|family=substitution:missense,family,71,50
gene=NRCAM|subfamily=missense,subfamily,71,50
gene=PCDH1|family=substitution:missense,family,71,55
gene=PCDH1|subfamily=missense,subfamily,71,55
gene=PPARGC1A|family=substitution:missense,family,71,48
gene=PPARGC1A|subfamily=missense,subfamily,71,48
gene=RTN1|family=substitution:missense,family,71,49
gene=RTN1|subfamily=missense,subfamily,71,49
gene=VCAM1|family=substitution:missense,family,71,34
gene=VCAM1|subfamily=missense,subfamily,71,34
gene=CACNA1H|family=substitution:no_change,family,56,71
gene=CACNA1H|subfamily=no_change,subfamily,56,71
gene=AR|position_bin=1-100,position_bin,24,71
gene=CD209|position_bin=101-200,position_bin,19,71
gene=TCHH|position_bin=1501-1600,position_bin,12,71
gene=ALMS1|position_bin=1-100,position_bin,4,71
gene=TP53|frameshift_grammar=ref_position_alt,frameshift_grammar,0,71
gene=TP53|subfamily=ref_position_alt,subfamily,0,71
gene=ARAP3|family=substitution:missense,family,70,65
gene=ARAP3|subfamily=missense,subfamily,70,65
gene=CLTC|family=substitution:missense,family,70,46
gene=CLTC|subfamily=missense,subfamily,70,46
gene=COL11A1|family=substitution:no_change,family,70,35
gene=COL11A1|subfamily=no_change,subfamily,70,35
gene=EGF|family=substitution:missense,family,70,45
gene=EGF|subfamily=missense,subfamily,70,45
gene=FBN1|family=substitution:no_change,family,70,44
gene=FBN1|subfamily=no_change,subfamily,70,44
gene=ITGA7|family=substitution:missense,family,70,57
gene=ITGA7|subfamily=missense,subfamily,70,57
gene=KMT2D|frameshift_grammar=short_ref_position,frameshift_grammar,70,15
gene=KMT2D|subfamily=short_ref_position,subfamily,70,15
gene=MYH3|family=substitution:no_change,family,70,38
gene=MYH3|subfamily=no_change,subfamily,70,38
gene=CEBPA|family=substitution:missense,family,7,70
gene=CEBPA|subfamily=missense,subfamily,7,70
gene=INHBB|position_bin=1-100,position_bin,1,70
gene=CIITA|family=substitution:missense,family,69,63
gene=CIITA|subfamily=missense,subfamily,69,63
gene=DTNA|family=substitution:missense,family,69,32
gene=DTNA|subfamily=missense,subfamily,69,32
gene=ENPP2|family=substitution:missense,family,69,46
gene=ENPP2|subfamily=missense,subfamily,69,46
gene=EPHA2|family=substitution:missense,family,69,49
gene=EPHA2|subfamily=missense,subfamily,69,49
gene=FBLN2|family=substitution:missense,family,69,54
gene=FBLN2|subfamily=missense,subfamily,69,54
gene=HRAS|family=substitution:missense,family,69,19
gene=HRAS|subfamily=missense,subfamily,69,19
gene=MYH11|family=substitution:no_change,family,69,52
gene=MYH11|subfamily=no_change,subfamily,69,52
gene=NLRP3|family=substitution:no_change,family,69,37
gene=NLRP3|subfamily=no_change,subfamily,69,37
gene=PCNT|family=substitution:no_change,family,69,51
gene=PCNT|subfamily=no_change,subfamily,69,51
gene=PLXNB2|family=substitution:no_change,family,69,44
gene=PLXNB2|subfamily=no_change,subfamily,69,44
gene=PRKG2|family=substitution:missense,family,69,29
gene=PRKG2|subfamily=missense,subfamily,69,29
gene=PTPN14|family=substitution:missense,family,69,51
gene=PTPN14|subfamily=missense,subfamily,69,51
gene=SORBS1|family=substitution:missense,family,69,62
gene=SORBS1|subfamily=missense,subfamily,69,62
gene=SORBS2|family=substitution:missense,family,69,59
gene=SORBS2|subfamily=missense,subfamily,69,59
gene=SSH2|family=substitution:missense,family,69,47
gene=SSH2|subfamily=missense,subfamily,69,47
gene=THSD4|family=substitution:missense,family,69,59
gene=THSD4|subfamily=missense,subfamily,69,59
gene=TCOF1|family=substitution:missense,family,55,69
gene=TCOF1|subfamily=missense,subfamily,55,69
gene=COL8A2|family=substitution:missense,family,32,69
gene=COL8A2|subfamily=missense,subfamily,32,69
gene=CDC42EP1|family=substitution:missense,family,20,69
gene=CDC42EP1|subfamily=missense,subfamily,20,69
gene=MAPKAPK2|family=substitution:missense,family,14,69
gene=MAPKAPK2|subfamily=missense,subfamily,14,69
gene=AHNAK|position_bin=801-900,position_bin,4,69
gene=AHNAK|aa_transition=T>A,aa_transition,3,69
gene=IFITM3|aa_transition=P>P,aa_transition,3,69
gene=ABCC1|family=substitution:missense,family,68,52
gene=ABCC1|subfamily=missense,subfamily,68,52
gene=COPA|family=substitution:missense,family,68,37
gene=COPA|subfamily=missense,subfamily,68,37
gene=EXOC4|family=substitution:missense,family,68,43
gene=EXOC4|subfamily=missense,subfamily,68,43
gene=IRS1|family=substitution:missense,family,68,46
gene=IRS1|subfamily=missense,subfamily,68,46
gene=LAMC2|family=substitution:missense,family,68,57
gene=LAMC2|subfamily=missense,subfamily,68,57
gene=LCT|family=substitution:no_change,family,68,61
gene=LCT|subfamily=no_change,subfamily,68,61
gene=MERTK|family=substitution:missense,family,68,39
gene=MERTK|subfamily=missense,subfamily,68,39
gene=MMS22L|family=substitution:missense,family,68,44
gene=MMS22L|subfamily=missense,subfamily,68,44
gene=PC|family=substitution:missense,family,68,51
gene=PC|subfamily=missense,subfamily,68,51
gene=PDS5B|family=substitution:missense,family,68,37
gene=PDS5B|subfamily=missense,subfamily,68,37
gene=PKP2|family=substitution:missense,family,68,38
gene=PKP2|subfamily=missense,subfamily,68,38
gene=SYNJ2|family=substitution:missense,family,68,50
gene=SYNJ2|subfamily=missense,subfamily,68,50
gene=TLR7|family=substitution:missense,family,68,38
gene=TLR7|subfamily=missense,subfamily,68,38
gene=LATS2|family=substitution:missense,family,57,68
gene=LATS2|subfamily=missense,subfamily,57,68
gene=MAP3K6|family=substitution:missense,family,36,68
gene=MAP3K6|subfamily=missense,subfamily,36,68
gene=TUBGCP6|position_bin=1201-1300,position_bin,7,68
gene=SVIL|position_bin=1201-1300,position_bin,6,68
gene=TARP|family=substitution:missense,family,0,68
gene=TARP|subfamily=missense,subfamily,0,68
gene=APC|frameshift_grammar=short_ref_position,frameshift_grammar,67,26
gene=APC|subfamily=short_ref_position,subfamily,67,26
gene=ARHGEF2|family=substitution:missense,family,67,43
gene=ARHGEF2|subfamily=missense,subfamily,67,43
gene=ARID4A|family=substitution:missense,family,67,40
gene=ARID4A|subfamily=missense,subfamily,67,40
gene=FAP|family=substitution:missense,family,67,37
gene=FAP|subfamily=missense,subfamily,67,37
gene=FARP1|family=substitution:missense,family,67,48
gene=FARP1|subfamily=missense,subfamily,67,48
gene=LAMA3|family=substitution:no_change,family,67,44
gene=LAMA3|subfamily=no_change,subfamily,67,44
gene=PHKA2|family=substitution:missense,family,67,45
gene=PHKA2|subfamily=missense,subfamily,67,45
gene=PLEKHG2|family=substitution:missense,family,67,64
gene=PLEKHG2|subfamily=missense,subfamily,67,64
gene=SLC4A4|family=substitution:missense,family,67,55
gene=SLC4A4|subfamily=missense,subfamily,67,55
gene=TRIO|family=substitution:no_change,family,67,51
gene=TRIO|subfamily=no_change,subfamily,67,51
gene=WDR90|family=substitution:missense,family,67,66
gene=WDR90|subfamily=missense,subfamily,67,66
gene=ABCC4|family=substitution:missense,family,66,67
gene=ABCC4|subfamily=missense,subfamily,66,67
gene=PLCG1|family=substitution:missense,family,66,67
gene=PLCG1|subfamily=missense,subfamily,66,67
gene=NFAT5|family=substitution:missense,family,62,67
gene=NFAT5|subfamily=missense,subfamily,62,67
gene=PHLDB1|family=substitution:missense,family,59,67
gene=PHLDB1|subfamily=missense,subfamily,59,67
gene=SH2B1|family=substitution:missense,family,47,67
gene=SH2B1|subfamily=missense,subfamily,47,67
gene=EFS|family=substitution:missense,family,25,67
gene=EFS|subfamily=missense,subfamily,25,67
gene=MAP6|position_bin=1-100,position_bin,2,67
gene=VEGFA|aa_transition=R>R,aa_transition,1,67
gene=RPL22|frameshift_grammar=ref_position_alt,frameshift_grammar,0,67
gene=RPL22|subfamily=ref_position_alt,subfamily,0,67
gene=ABCC5|family=substitution:missense,family,66,49
gene=ABCC5|subfamily=missense,subfamily,66,49
gene=ALDH1L1|family=substitution:missense,family,66,58
gene=ALDH1L1|subfamily=missense,subfamily,66,58
gene=ALS2|family=substitution:missense,family,66,52
gene=ALS2|subfamily=missense,subfamily,66,52
gene=ARHGAP29|family=substitution:missense,family,66,46
gene=ARHGAP29|subfamily=missense,subfamily,66,46
gene=CENPJ|family=substitution:missense,family,66,47
gene=CENPJ|subfamily=missense,subfamily,66,47
gene=CLASP1|family=substitution:missense,family,66,48
gene=CLASP1|subfamily=missense,subfamily,66,48
gene=GYS2|family=substitution:missense,family,66,41
gene=GYS2|subfamily=missense,subfamily,66,41
gene=HDAC6|family=substitution:missense,family,66,46
gene=HDAC6|subfamily=missense,subfamily,66,46
gene=HELZ2|family=substitution:no_change,family,66,59
gene=HELZ2|subfamily=no_change,subfamily,66,59
gene=KIF5A|family=substitution:missense,family,66,57
gene=KIF5A|subfamily=missense,subfamily,66,57
gene=NCOA6|family=substitution:no_change,family,66,33
gene=NCOA6|subfamily=no_change,subfamily,66,33
gene=NPC1|family=substitution:missense,family,66,53
gene=NPC1|subfamily=missense,subfamily,66,53
gene=PGK2|family=substitution:missense,family,66,32
gene=PGK2|subfamily=missense,subfamily,66,32
gene=TNC|family=substitution:no_change,family,66,58
gene=TNC|subfamily=no_change,subfamily,66,58
gene=COL5A3|family=substitution:no_change,family,38,66
gene=COL5A3|subfamily=no_change,subfamily,38,66
gene=PML|family=substitution:missense,family,37,66
gene=PML|subfamily=missense,subfamily,37,66
gene=IRS2|family=substitution:missense,family,20,66
gene=IRS2|subfamily=missense,subfamily,20,66
gene=ADAM12|family=substitution:missense,family,65,52
gene=ADAM12|subfamily=missense,subfamily,65,52
gene=C8A|family=substitution:missense,family,65,56
gene=C8A|subfamily=missense,subfamily,65,56
gene=DAAM1|family=substitution:missense,family,65,41
gene=DAAM1|subfamily=missense,subfamily,65,41
gene=DGKG|family=substitution:missense,family,65,48
gene=DGKG|subfamily=missense,subfamily,65,48
gene=MON2|family=substitution:missense,family,65,58
gene=MON2|subfamily=missense,subfamily,65,58
gene=MYLK|family=substitution:no_change,family,65,37
gene=MYLK|subfamily=no_change,subfamily,65,37
gene=NPY5R|family=substitution:missense,family,65,24
gene=NPY5R|subfamily=missense,subfamily,65,24
gene=NRIP1|family=substitution:missense,family,65,36
gene=NRIP1|subfamily=missense,subfamily,65,36
gene=SYCP1|family=substitution:missense,family,65,50
gene=SYCP1|subfamily=missense,subfamily,65,50
gene=CREBBP|family=substitution:no_change,family,54,65
gene=CREBBP|subfamily=no_change,subfamily,54,65
gene=COL6A1|family=substitution:missense,family,49,65
gene=COL6A1|subfamily=missense,subfamily,49,65
gene=PIK3CD|family=substitution:missense,family,44,65
gene=PIK3CD|subfamily=missense,subfamily,44,65
gene=JAG2|family=substitution:missense,family,37,65
gene=JAG2|subfamily=missense,subfamily,37,65
gene=MAP6|family=substitution:missense,family,37,65
gene=MAP6|subfamily=missense,subfamily,37,65
gene=PBX2|position_bin=1-100,position_bin,12,65
gene=TNFAIP6|provenance=blank,provenance,0,65
gene=ANO1|family=substitution:missense,family,64,52
gene=ANO1|subfamily=missense,subfamily,64,52
gene=ATRN|family=substitution:missense,family,64,47
gene=ATRN|subfamily=missense,subfamily,64,47
gene=CADM2|family=substitution:missense,family,64,36
gene=CADM2|subfamily=missense,subfamily,64,36
gene=CDH8|family=substitution:no_change,family,64,37
gene=CDH8|subfamily=no_change,subfamily,64,37
gene=CDKN2A|position_bin=101-200,position_bin,64,13
gene=EPB41L2|family=substitution:missense,family,64,42
gene=EPB41L2|subfamily=missense,subfamily,64,42
gene=ERCC5|family=substitution:missense,family,64,11
gene=ERCC5|subfamily=missense,subfamily,64,11
gene=HRAS|position_bin=1-100,position_bin,64,18
gene=KIF13B|family=substitution:missense,family,64,62
gene=KIF13B|subfamily=missense,subfamily,64,62
gene=MSR1|family=substitution:missense,family,64,46
gene=MSR1|subfamily=missense,subfamily,64,46
gene=NPFFR2|family=substitution:missense,family,64,39
gene=NPFFR2|subfamily=missense,subfamily,64,39
gene=NR3C2|family=substitution:missense,family,64,43
gene=NR3C2|subfamily=missense,subfamily,64,43
gene=PLA2G4A|family=substitution:missense,family,64,38
gene=PLA2G4A|subfamily=missense,subfamily,64,38
gene=PYGM|family=substitution:missense,family,64,55
gene=PYGM|subfamily=missense,subfamily,64,55
gene=SMC3|family=substitution:missense,family,64,39
gene=SMC3|subfamily=missense,subfamily,64,39
gene=VHL|family=substitution:nonsense,family,64,12
gene=VHL|subfamily=nonsense,subfamily,64,12
gene=ZBTB16|family=substitution:missense,family,64,31
gene=ZBTB16|subfamily=missense,subfamily,64,31
gene=ZFPM2|family=substitution:no_change,family,64,28
gene=ZFPM2|subfamily=no_change,subfamily,64,28
gene=NOTCH1|family=substitution:no_change,family,60,64
gene=NOTCH1|subfamily=no_change,subfamily,60,64
gene=SVIL|family=substitution:no_change,family,49,64
gene=SVIL|subfamily=no_change,subfamily,49,64
gene=IDUA|family=substitution:missense,family,30,64
gene=IDUA|subfamily=missense,subfamily,30,64
gene=TGFBR2|position_bin=101-200,position_bin,18,64
gene=CEL|position_bin=701-800,position_bin,12,64
gene=LMO2|position_bin=1-100,position_bin,9,64
gene=CREBBP|position_bin=1901-2000,position_bin,5,64
gene=MFHAS1|aa_transition=V>G,aa_transition,0,64
gene=MTCH2|aa_transition=F>S,aa_transition,0,64
gene=ABCD2|family=substitution:missense,family,63,28
gene=ABCD2|subfamily=missense,subfamily,63,28
gene=ANLN|family=substitution:missense,family,63,45
gene=ANLN|subfamily=missense,subfamily,63,45
gene=APLP1|family=substitution:missense,family,63,37
gene=APLP1|subfamily=missense,subfamily,63,37
gene=ARHGEF6|family=substitution:missense,family,63,28
gene=ARHGEF6|subfamily=missense,subfamily,63,28
gene=ATP2B4|family=substitution:missense,family,63,59
gene=ATP2B4|subfamily=missense,subfamily,63,59
gene=C3|family=substitution:no_change,family,63,42
gene=C3|subfamily=no_change,subfamily,63,42
gene=CUL1|family=substitution:missense,family,63,44
gene=CUL1|subfamily=missense,subfamily,63,44
gene=CYP11B2|family=substitution:missense,family,63,38
gene=CYP11B2|subfamily=missense,subfamily,63,38
gene=IL18RAP|family=substitution:missense,family,63,37
gene=IL18RAP|subfamily=missense,subfamily,63,37
gene=PRLR|family=substitution:missense,family,63,28
gene=PRLR|subfamily=missense,subfamily,63,28
gene=PTPRR|family=substitution:missense,family,63,41
gene=PTPRR|subfamily=missense,subfamily,63,41
gene=SSTR4|family=substitution:missense,family,63,43
gene=SSTR4|subfamily=missense,subfamily,63,43
gene=SUPT5H|family=substitution:missense,family,63,37
gene=SUPT5H|subfamily=missense,subfamily,63,37
gene=TEX15|family=substitution:no_change,family,63,18
gene=TEX15|subfamily=no_change,subfamily,63,18
gene=TIAM1|family=substitution:no_change,family,63,45
gene=TIAM1|subfamily=no_change,subfamily,63,45
gene=TYK2|family=substitution:missense,family,63,49
gene=TYK2|subfamily=missense,subfamily,63,49
gene=ZNF112|family=substitution:missense,family,63,43
gene=ZNF112|subfamily=missense,subfamily,63,43
gene=NEFH|family=substitution:missense,family,58,63
gene=NEFH|subfamily=missense,subfamily,58,63
gene=PALLD|family=substitution:missense,family,57,63
gene=PALLD|subfamily=missense,subfamily,57,63
gene=F5|family=substitution:no_change,family,54,63
gene=F5|subfamily=no_change,subfamily,54,63
gene=PPFIA4|family=substitution:missense,family,53,63
gene=PPFIA4|subfamily=missense,subfamily,53,63
gene=SCUBE1|family=substitution:missense,family,53,63
gene=SCUBE1|subfamily=missense,subfamily,53,63
gene=CEP131|family=substitution:missense,family,44,63
gene=CEP131|subfamily=missense,subfamily,44,63
gene=HLA-B|position_bin=201-300,position_bin,34,63
gene=BRAF|position_bin=601-700,position_bin,21,63
gene=SLC23A2|position_bin=401-500,position_bin,21,63
gene=TCHH|aa_transition=R>R,aa_transition,13,63
gene=GP1BA|position_bin=401-500,position_bin,11,63
gene=IL32|family=substitution:no_change,family,8,63
gene=IL32|subfamily=no_change,subfamily,8,63
gene=MAST4|position_bin=1-100,position_bin,2,63
gene=WAS|aa_transition=P>P,aa_transition,2,63
gene=NOP2|aa_transition=P>P,aa_transition,1,63
gene=ABCG8|family=substitution:missense,family,62,37
gene=ABCG8|subfamily=missense,subfamily,62,37
gene=ADAM23|family=substitution:missense,family,62,33
gene=ADAM23|subfamily=missense,subfamily,62,33
gene=ADD2|family=substitution:missense,family,62,48
gene=ADD2|subfamily=missense,subfamily,62,48
gene=ARID4B|family=substitution:missense,family,62,35
gene=ARID4B|subfamily=missense,subfamily,62,35
gene=CSF3R|family=substitution:missense,family,62,22
gene=CSF3R|subfamily=missense,subfamily,62,22
gene=DAB2|family=substitution:missense,family,62,34
gene=DAB2|subfamily=missense,subfamily,62,34
gene=FLNB|family=substitution:no_change,family,62,48
gene=FLNB|subfamily=no_change,subfamily,62,48
gene=HK2|family=substitution:missense,family,62,48
gene=HK2|subfamily=missense,subfamily,62,48
gene=ITGAE|family=substitution:missense,family,62,48
gene=ITGAE|subfamily=missense,subfamily,62,48
gene=NOTCH2|family=substitution:no_change,family,62,38
gene=NOTCH2|subfamily=no_change,subfamily,62,38
gene=NRP1|family=substitution:missense,family,62,44
gene=NRP1|subfamily=missense,subfamily,62,44
gene=NRP2|family=substitution:missense,family,62,40
gene=NRP2|subfamily=missense,subfamily,62,40
gene=SLC4A1|family=substitution:missense,family,62,58
gene=SLC4A1|subfamily=missense,subfamily,62,58
gene=SLC6A3|family=substitution:missense,family,62,53
gene=SLC6A3|subfamily=missense,subfamily,62,53
gene=TP53|aa_transition=R>Q,aa_transition,62,33
gene=UPF1|family=substitution:missense,family,62,39
gene=UPF1|subfamily=missense,subfamily,62,39
gene=GABBR1|family=substitution:missense,family,57,62
gene=GABBR1|subfamily=missense,subfamily,57,62
gene=MAST3|family=substitution:missense,family,54,62
gene=MAST3|subfamily=missense,subfamily,54,62
gene=TBCD|family=substitution:missense,family,54,62
gene=TBCD|subfamily=missense,subfamily,54,62
gene=ADCY6|family=substitution:missense,family,51,62
gene=ADCY6|subfamily=missense,subfamily,51,62
gene=ABL1|family=substitution:missense,family,49,62
gene=ABL1|subfamily=missense,subfamily,49,62
gene=SNAPC4|family=substitution:missense,family,49,62
gene=SNAPC4|subfamily=missense,subfamily,49,62
gene=GNAS|position_bin=101-200,position_bin,39,62
gene=ACTN4|family=substitution:missense,family,38,62
gene=ACTN4|subfamily=missense,subfamily,38,62
gene=IL9R|family=substitution:missense,family,34,62
gene=IL9R|subfamily=missense,subfamily,34,62
gene=MARCKS|position_bin=101-200,position_bin,10,62
gene=PRDM2|position_bin=1201-1300,position_bin,7,62
gene=ADCY2|family=substitution:no_change,family,61,41
gene=ADCY2|subfamily=no_change,subfamily,61,41
gene=ATP2B1|family=substitution:missense,family,61,39
gene=ATP2B1|subfamily=missense,subfamily,61,39
gene=BANK1|family=substitution:missense,family,61,40
gene=BANK1|subfamily=missense,subfamily,61,40
gene=C9|family=substitution:missense,family,61,35
gene=C9|subfamily=missense,subfamily,61,35
gene=CHEK2|family=substitution:missense,family,61,40
gene=CHEK2|subfamily=missense,subfamily,61,40
gene=DDB1|family=substitution:missense,family,61,36
gene=DDB1|subfamily=missense,subfamily,61,36
gene=FN1|family=substitution:no_change,family,61,37
gene=FN1|subfamily=no_change,subfamily,61,37
gene=GABRA3|family=substitution:missense,family,61,24
gene=GABRA3|subfamily=missense,subfamily,61,24
gene=GP2|family=substitution:missense,family,61,41
gene=GP2|subfamily=missense,subfamily,61,41
gene=GREB1|family=substitution:no_change,family,61,61
gene=GREB1|subfamily=no_change,subfamily,61,61
gene=GRM8|family=substitution:no_change,family,61,28
gene=GRM8|subfamily=no_change,subfamily,61,28
gene=HTR5A|family=substitution:missense,family,61,39
gene=HTR5A|subfamily=missense,subfamily,61,39
gene=ITIH1|family=substitution:missense,family,61,33
gene=ITIH1|subfamily=missense,subfamily,61,33
gene=L3MBTL4|family=substitution:missense,family,61,36
gene=L3MBTL4|subfamily=missense,subfamily,61,36
gene=LATS1|family=substitution:missense,family,61,43
gene=LATS1|subfamily=missense,subfamily,61,43
gene=MPO|family=substitution:missense,family,61,38
gene=MPO|subfamily=missense,subfamily,61,38
gene=NCAM1|family=substitution:missense,family,61,53
gene=NCAM1|subfamily=missense,subfamily,61,53
gene=NPR2|family=substitution:missense,family,61,39
gene=NPR2|subfamily=missense,subfamily,61,39
gene=NUP107|family=substitution:missense,family,61,29
gene=NUP107|subfamily=missense,subfamily,61,29
gene=PHEX|family=substitution:missense,family,61,40
gene=PHEX|subfamily=missense,subfamily,61,40
gene=SPAG5|family=substitution:missense,family,61,27
gene=SPAG5|subfamily=missense,subfamily,61,27
gene=SPOP|family=substitution:missense,family,61,26
gene=SPOP|subfamily=missense,subfamily,61,26
gene=SYMPK|family=substitution:missense,family,61,55
gene=SYMPK|subfamily=missense,subfamily,61,55
gene=TF|family=substitution:missense,family,61,37
gene=TF|subfamily=missense,subfamily,61,37
gene=TIMELESS|family=substitution:missense,family,61,35
gene=TIMELESS|subfamily=missense,subfamily,61,35
gene=TOPBP1|family=substitution:missense,family,61,47
gene=TOPBP1|subfamily=missense,subfamily,61,47
gene=VCPIP1|family=substitution:missense,family,61,35
gene=VCPIP1|subfamily=missense,subfamily,61,35
gene=WWC1|family=substitution:missense,family,61,35
gene=WWC1|subfamily=missense,subfamily,61,35
gene=XDH|family=substitution:no_change,family,61,32
gene=XDH|subfamily=no_change,subfamily,61,32
gene=MMP9|family=substitution:missense,family,51,61
gene=MMP9|subfamily=missense,subfamily,51,61
gene=CFH|family=substitution:no_change,family,46,61
gene=CFH|subfamily=no_change,subfamily,46,61
gene=SFPQ|family=substitution:missense,family,26,61
gene=SFPQ|subfamily=missense,subfamily,26,61
gene=AHNAK|aa_transition=G>G,aa_transition,25,61
gene=ESRRA|family=substitution:missense,family,20,61
gene=ESRRA|subfamily=missense,subfamily,20,61
gene=EGFR|position_bin=601-700,position_bin,16,61
gene=AHNAK|position_bin=2601-2700,position_bin,11,61
gene=EFS|family=substitution:no_change,family,11,61
gene=EFS|subfamily=no_change,subfamily,11,61
gene=GRINA|position_bin=101-200,position_bin,5,61
gene=MYL1|family=frameshift,family,1,61
gene=MYL1|parse_status=partial,parse_status,1,61
gene=MYL1|frameshift_grammar=ref_position_alt,frameshift_grammar,0,61
gene=MYL1|subfamily=ref_position_alt,subfamily,0,61
gene=A2M|family=substitution:no_change,family,60,24
gene=A2M|subfamily=no_change,subfamily,60,24
gene=ADAD1|family=substitution:missense,family,60,34
gene=ADAD1|subfamily=missense,subfamily,60,34
gene=AFF1|family=substitution:missense,family,60,53
gene=AFF1|subfamily=missense,subfamily,60,53
gene=BRDT|family=substitution:missense,family,60,42
gene=BRDT|subfamily=missense,subfamily,60,42
gene=CDON|family=substitution:missense,family,60,54
gene=CDON|subfamily=missense,subfamily,60,54
gene=CLIP1|family=substitution:missense,family,60,52
gene=CLIP1|subfamily=missense,subfamily,60,52
gene=COL15A1|family=substitution:no_change,family,60,47
gene=COL15A1|subfamily=no_change,subfamily,60,47
gene=EIF3A|family=substitution:missense,family,60,60
gene=EIF3A|subfamily=missense,subfamily,60,60
gene=EPHB3|family=substitution:missense,family,60,41
gene=EPHB3|subfamily=missense,subfamily,60,41
gene=FMO3|family=substitution:missense,family,60,35
gene=FMO3|subfamily=missense,subfamily,60,35
gene=MYBPC3|family=substitution:missense,family,60,47
gene=MYBPC3|subfamily=missense,subfamily,60,47
gene=MYH9|family=substitution:no_change,family,60,39
gene=MYH9|subfamily=no_change,subfamily,60,39
gene=NPY1R|family=substitution:missense,family,60,22
gene=NPY1R|subfamily=missense,subfamily,60,22
gene=PCM1|family=substitution:missense,family,60,47
gene=PCM1|subfamily=missense,subfamily,60,47
gene=PIGR|family=substitution:missense,family,60,28
